order,log2FC,treatment
AM__Proteobacteria_Alphaproteobacteria_Sphingomonadales,0.300434526,NO_AO
AM__Proteobacteria_Alphaproteobacteria_Sphingomonadales,-0.587216066,NC_AO
AL__Proteobacteria_Alphaproteobacteria_unclassified,0.581351234,AC_AO
AL__Proteobacteria_Alphaproteobacteria_unclassified,-0.248344771,NO_AO
AL__Proteobacteria_Alphaproteobacteria_unclassified,0.411871786,NC_AO
AK__Proteobacteria_Deltaproteobacteria_Bradymonadales,-0.607275256,AC_AO
AK__Proteobacteria_Deltaproteobacteria_Bradymonadales,0.049719616,NO_AO
AK__Proteobacteria_Deltaproteobacteria_Bradymonadales,-0.734916549,NC_AO
AJ__Proteobacteria_Deltaproteobacteria_Myxococcales,0.880638517,AC_AO
AJ__Proteobacteria_Deltaproteobacteria_Myxococcales,0.439169418,NO_AO
AJ__Proteobacteria_Deltaproteobacteria_Myxococcales,1.255320605,NC_AO
AI__Proteobacteria_Gammaproteobacteria_Alteromonadales,-0.895755831,AC_AO
AI__Proteobacteria_Gammaproteobacteria_Alteromonadales,0.3636136,NO_AO
AI__Proteobacteria_Gammaproteobacteria_Alteromonadales,-1.064254636,NC_AO
AH__Proteobacteria_Gammaproteobacteria_Arenicellales,-0.614896965,AC_AO
AH__Proteobacteria_Gammaproteobacteria_Arenicellales,-0.129822445,NO_AO
AH__Proteobacteria_Gammaproteobacteria_Arenicellales,-0.201040778,NC_AO
AG__Proteobacteria_Gammaproteobacteria_Beggiatoales,5.115450157,AC_AO
AG__Proteobacteria_Gammaproteobacteria_Beggiatoales,2.515529598,NO_AO
AG__Proteobacteria_Gammaproteobacteria_Beggiatoales,3.143649308,NC_AO
AF__Proteobacteria_Gammaproteobacteria_Betaproteobacteriales,0.956752591,AC_AO
AF__Proteobacteria_Gammaproteobacteria_Betaproteobacteriales,1.734739582,NO_AO
AF__Proteobacteria_Gammaproteobacteria_Betaproteobacteriales,1.90232993,NC_AO
AE__Proteobacteria_Gammaproteobacteria_Cellvibrionales,0.605416537,AC_AO
AE__Proteobacteria_Gammaproteobacteria_Cellvibrionales,-0.033835443,NO_AO
AE__Proteobacteria_Gammaproteobacteria_Cellvibrionales,0.96005658,NC_AO
AD__Proteobacteria_Gammaproteobacteria_Steroidobacterales,0.724595508,AC_AO
AD__Proteobacteria_Gammaproteobacteria_Steroidobacterales,0.032224324,NO_AO
AD__Proteobacteria_Gammaproteobacteria_Steroidobacterales,1.283100905,NC_AO
AC__Verrucomicrobia_Verrucomicrobiae_Opitutales,0.88692251,AC_AO
AC__Verrucomicrobia_Verrucomicrobiae_Opitutales,-0.038862079,NO_AO
AC__Verrucomicrobia_Verrucomicrobiae_Opitutales,0.931990785,NC_AO
AB__Verrucomicrobia_Verrucomicrobiae_Verrucomicrobiales,0.030521898,AC_AO
AB__Verrucomicrobia_Verrucomicrobiae_Verrucomicrobiales,-0.105558113,NO_AO
AB__Verrucomicrobia_Verrucomicrobiae_Verrucomicrobiales,0.386532778,NC_AO
