,treatment,dominant
T1AO_1,AO,CCA
T1AO_5,AO,unknown
T1AO_3,AO,NCCA
T1AO_29,AO,unknown
T1AC_7,AC,Lobophora
T1AC_9,AC,Turf
T1AC_8,AC,Lobophora
T1AC_33,AC,Lobophora
T1NO_13,NO,CCA
T1NO_15,NO,CCA
T1NO_17,NO,unknown
T1NO_37,NO,CCA
T1NC_19,NC,EAM
T1NC_20,NC,Turf
T1NC_21,NC,Turf
T1NC_43,NC,Lobophora
