,1AO_17,1AO_20,1AO_23,1AO_22,1AC_17,1AC_20,1AC_23,1AC_22,1NO_16,1NO_18,1NO_21,1NO_10,1NC_16,1NC_18,1NC_21,1NC_10,2AO_17,2AO_20,2AO_23,2AO_22,2AC_17,2AC_20,2AC_23,2AC_22,2NO_16,2NO_18,2NO_21,2NO_10,2NC_16,2NC_18,2NC_21,2NC_10,3AO_17,3AO_20,3AO_23,3AO_22,3AC_17,3AC_20,3AC_23,3AC_22,3NO_16,3NO_18,3NO_10,3NC_16,3NC_18,3NC_21,3NC_10,4AO_17,4AO_20,4AO_23,4AO_22,4AC_17,4AC_20,4AC_23,4AC_22,4NO_16,4NO_18,4NO_21,4NO_10,4NC_16,4NC_18,4NC_21,4NC_10,5AO_17,5AO_20,5AO_23,5AO_22,5AC_17,5AC_20,5AC_23,5AC_22,5NO_16,5NO_18,5NO_21,5NO_10,5NC_16,5NC_18,5NC_21,5NC_10,6AO_17,6AO_20,6AO_23,6AO_22,6AC_17,6AC_20,6AC_23,6AC_22,6NO_16,6NO_18,6NO_21,6NO_10,6NC_16,6NC_18,6NC_21,6NC_10
asv26949,0,0,0,0,0,0,0,0,0,0.021345986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003133781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009392317,0,0,0,0,0,0,0,0,0,0,0,0,0.016125911,0,0,0,0.012732556,0,0,0,0,0,0,0,0,0,0,0,0.002770428,0,0,0,0,0,0,0,0,0,0,0
asv31692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005701432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00699274,0,0,0,0,0,0,0,0,0,0,0.014566518,0,0,0.024098093,0.006449873,0.014642479,0,0,0,0,0,0,0.01729118,0.012278036,0.015454865,0,0,0,0,0.03373494,0,0.006511143,0,0,0,0,0,0,0.015728452,0.029835794,0.03333889,0.077831611,0.02270845,0.021432886,0,0.029784558,0,0,0,0,0,0,0,0,0.030820491,0,0,0,0,0,0,0
asv34932,0,0,0,0.093253757,0,0,0,0,0.163074891,0,0,0.111174867,0.067819111,0.046988538,0,0,0,0.024878974,0,0.011760709,0,0,0,0,0,0.010953044,0,0,0.020455182,0,0,0,0,0,0,0,0,0.013282288,0.026411008,0,0.068080239,0,0,0,0,0,0,0.012313393,0,0,0,0,0,0,0.041594547,0,0.0272729,0,0,0,0,0,0.04497992,0,0.070747181,0,0,0,0,0,0.037257053,0.035630738,0,0,0,0.042825085,0.146119644,0.439416132,0.203527815,0.035049095,0,0.068021953,0,0.036984577,0,0,0.051232789,0.167430237,0.02425033,0,0.076017338,0.091047666,0.060027665,0.281480101,0
asv47933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019287289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02924352,0,0
asv50122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058083742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055923199,0
asv50424,0,0,0,0,0,0,0,0.155735403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033886508,0.031204075,0,0
asv05209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098991666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv22837,0,0,0,0,0,0,0,0,0,0.015423768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022573363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv29648,0,0,0,0,0,0,0,0,0.10542907,0,0,0,0,0,0,0,0,0.013476111,0,0,0,0,0,0,0.046073079,0,0,0,0,0,0,0,0.047510019,0,0,0,0,0.010071508,0,0,0.180752446,0.084786361,0.164062131,0.006388552,0,0,0,0.059810225,0.088084226,0,0,0,0.01774645,0,0,0.23922763,0.330606217,0.06743941,0.099321871,0,0,0,0.041767068,0.096569641,0.11205109,0,0,0,0,0,0,0.043943563,0.025163191,0.129188198,0.155663223,0.111092397,0.017535998,0,0.094317768,0.045652682,0.010028481,0,0,0.028396892,0.191480072,0,0,0.488815282,0,0.024009604,0,0.025643844,0.045296237,0,0
asv39477,0,0.043025146,0,0,0,0,0,0,0,0,0.057283142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015256888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042885455,0,0,0,0,0,0,0,0.020177563,0.017649677,0,0.068497842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041898695,0,0,0,0,0,0
