Nutrients,Caging,Microhabitat,All_herbivores,Detritivore_Grazer,Grazer,Omnivore,Scraper,Excavator,All_fish
Nutrient,Partial,Crevice,0.00862069,0.00862069,0,0,0,0,0.017241379
Nutrient,Partial,Side,0.163793103,0.163793103,0,0,0,0,0.327586207
Nutrient,Partial,Crown,0.775862069,0.775862069,0,0,0,0,1.551724138
Ambient,Open,Crevice,0.336283186,0.336283186,0,0,0,0,0.672566372
Ambient,Open,Side,0.530973451,0.504424779,0,0,0,0.026548673,1.061946903
Ambient,Open,Crown,0.610619469,0.610619469,0,0,0,0,1.221238938
Ambient,Partial,Crevice,0.079646018,0.079646018,0,0,0,0,0.159292035
Ambient,Partial,Side,0.318584071,0.318584071,0,0,0,0,0.637168142
Ambient,Partial,Crown,0.690265487,0.690265487,0,0.026548673,0,0,1.407079646
Ambient,Open,Crevice,0.379310345,0.248275862,0,0,0.013793103,0.117241379,0.75862069
Ambient,Open,Side,0.931034483,0.324137931,0,0,0.351724138,0.255172414,1.862068966
Ambient,Open,Crown,0.24137931,0.075862069,0,0,0.103448276,0.062068966,0.482758621
Ambient,Partial,Crevice,0.793103448,0.317241379,0,0,0.124137931,0.351724138,1.586206897
Ambient,Partial,Side,0.675862069,0.165517241,0,0,0.110344828,0.4,1.351724138
Ambient,Partial,Crown,0.696551724,0,0,0,0.227586207,0.468965517,1.393103448
Ambient,Open,Crevice,0.85840708,0.805309735,0,0.03539823,0.017699115,0.03539823,1.752212389
Ambient,Open,Side,0.752212389,0.548672566,0,0.079646018,0.026548673,0.17699115,1.584070796
Ambient,Open,Crown,0.973451327,0.495575221,0,0.327433628,0.212389381,0.265486726,2.274336283
Ambient,Partial,Crevice,0.345132743,0.318584071,0,0.079646018,0,0.026548673,0.769911504
Ambient,Partial,Side,0.477876106,0.292035398,0,0.256637168,0,0.185840708,1.212389381
Ambient,Partial,Crown,0.442477876,0.327433628,0,0.327433628,0,0.115044248,1.212389381
Nutrient,Open,Crevice,0.384,0.384,0,0,0,0,0.768
Nutrient,Open,Side,0.848,0.832,0,0,0,0.016,1.696
Nutrient,Open,Crown,1.256,1.24,0,0,0,0.016,2.512
Nutrient,Partial,Crevice,0.536,0.496,0,0,0,0.04,1.072
Nutrient,Partial,Side,0.552,0.432,0.032,0,0.04,0.048,1.104
Nutrient,Partial,Crown,1.664,1.32,0.024,0,0.248,0.072,3.328
Nutrient,Open,Crevice,0.023076923,0.023076923,0,0,0,0,0.046153846
Nutrient,Open,Side,0.176923077,0.153846154,0,0,0,0.023076923,0.353846154
Nutrient,Open,Crown,0.692307692,0.6,0,0.046153846,0,0.092307692,1.430769231
Nutrient,Partial,Crevice,0.069230769,0.069230769,0,0,0,0,0.138461538
Nutrient,Partial,Side,0.146153846,0.146153846,0,0.023076923,0,0,0.315384615
Nutrient,Partial,Crown,0.138461538,0.138461538,0,0.015384615,0,0,0.292307692
Nutrient,Open,Crevice,0.022556391,0.022556391,0,0,0,0,0.045112782
