,1AO_1,1AO_5,1AO_3,1AO_29,1AC_7,1AC_9,1AC_8,1AC_33,1NO_13,1NO_15,1NO_17,1NO_37,1NC_19,1NC_20,1NC_21,1NC_43
asv28664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177006069,0
asv29238,0.018146449,0.052014023,0,0.042979723,0.026260031,0.035208587,0.021686388,0.066551078,0.030003487,0.049588598,0.084451534,0.052982552,0.046559156,0.113529637,0.095527085,0.026336119
asv30133,0,0,0,0,0,0,0,0.014010753,0,0,0,0,0,0,0,0
asv32405,0,0.00113951,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv32905,0.00725858,0.003765004,0,0,0,0,0,0,0.012911792,0.023280748,0,0,0,0,0,0
asv32991,0,0,0,0.00306998,0.007086742,0.002725588,0,0,0,0,0,0,0.00928234,0.02784356,0.00842886,0
asv33263,0,0,0,0,0.047509288,0,0,0.015762097,0,0,0,0,0,0.044370351,0,0
asv34123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121146148
asv34609,0,0,0,0,0,0,0.008132395,0,0,0,0,0.003653969,0.011148638,0.006706651,0.033715442,0.005267224
asv35056,0,0,0,0,0,0,0,0,0,0,0.104782459,0,0,0,0,0
asv36790,0,0,0,0,0.050572055,0,0,0,0,0,0,0,0,0,0,0
asv36929,0,0,0.007651305,0.00306998,0,0,0,0,0,0.009954387,0,0,0,0,0,0
asv37022,0.101804928,0.00227902,0,0,0,0,0,0,0.00707813,0,0,0,0,0,0,0
asv37648,0,0.001709265,0,0,0.002024783,0,0,0.005254032,0,0,0,0,0.007465194,0,0,0
asv37732,0,0,0,0,0,0,0,0,0,0,0,0,0.007465194,0,0,0
asv38592,0,0,0,0,0,0,0,0,0,0,0,0,0.018662984,0,0,0
asv38615,0,0.013674123,0,0.021489861,0,0,0.013553992,0,0.008359806,0,0,0.012788892,0.004604306,0,0,0
asv38815,0,0,0.067586524,0,0,0,0,0,0,0,0,0,0,0,0,0
asv41633,0,0,0,0,0.004034943,0,0,0,0,0,0,0,0,0,0,0
asv41854,0.04048238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv43086,0,0,0,0,0,0.002725588,0,0,0.00587087,0,0,0,0,0,0,0
asv44126,0,0.00227902,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv46985,0,0,0.008926522,0,0,0,0,0,0,0,0,0,0,0,0,0
asv49836,0.011363475,0,0,0,0,0,0,0,0.005137011,0.011019689,0,0.012788892,0,0,0,0
asv50192,0,0.014307013,0.011476957,0,0.00607435,0,0.021686388,0,0.002201576,0,0.004691752,0,0.011971195,0.016227465,0.00561924,0.101832994
asv50377,0,0,0,0,0,0,0,0,0,0.004591537,0,0,0,0,0,0
asv52712,0.00362929,0.00113951,0,0,0,0,0,0,0.001467718,0,0,0,0,0,0,0
asv52856,0,0,0,0,0.002024783,0,0,0,0,0,0,0,0,0,0,0
asv53270,0,0,0.042082175,0.026094832,0,0,0,0,0.008359806,0.00536285,0,0,0,0,0,0
asv53289,0,0,0,0.00306998,0,0,0,0,0,0.005509844,0.010947421,0,0.002799448,0.003772256,0,0
asv53578,0,0.00227902,0,0,0.003026207,0,0,0,0,0.005509844,0,0,0,0.021376119,0,0
asv53851,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042693375,0,0
asv55660,0,0.002259002,0,0,0,0,0.012198593,0,0,0,0,0,0,0,0,0
asv14282,0,0,0,0,0.013146468,0.026832185,0,0,0,0,0,0,0,0.007544513,0,0
asv40283,0,0,0,0,0.025269576,0.06470932,0,0.007005377,0,0,0.010947421,0,0.019485541,0,0.039334682,0
asv50289,0,0,0,0,3.246745777,0,0,0,0,0,0,0,0,0,0,0
asv42171,0.008585169,0,0,0,0.01822305,0,0,0,0,0,0,0,0,0,0,0
asv00732,0,0.004518004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv01897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254582485
asv05440,0,0.003968267,0,0,0,0,0,0,0,0,0,0.021923815,0,0.021317256,0,0
asv09214,0,0,0,0,0,0,0,0,0,0.204804352,0,0,0,0,0,0
asv13835,0,0,0,0,0,0.002725588,0,0,0,0,0,0,0,0.010539023,0,0
asv16322,0,0.013554013,0,0.041444733,0.015131035,0,0.523184104,0,0,0,0,0,0,0.212687878,0,0.029847602
asv20941,0,0.108405923,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv23003,0,0,0,0,0,0,0,0.04203226,0,0,0,0.021923815,0,0,0.140481007,0
asv23340,0,0,0,0,0,0,0,0.115588714,0,0,0,0,0,0,0,0
asv23450,0,0,0,0,0,0,0,0,0,0,0.029714429,0,0.003732597,0,0,0
asv27138,0,0,0,0,0,0,0,0,0,0,0.007819587,0,0,0,0,0
asv27845,0,0.0723589,0,0,0,0,0,0,0,0,0,0,0,0,0,0
