,1AO_1,1AO_5,1AO_3,1AO_29,1AC_7,1AC_9,1AC_8,1AC_33,1NO_13,1NO_15,1NO_17,1NO_37,1NC_19,1NC_20,1NC_21,1NC_43
asv08642,0,0.012494576,0.011476957,0.035304772,0,0.013742018,0,0,0.019293271,0.010101381,0.037534015,0.031058738,0.029467558,0.01916186,0.059002023,0
asv09797,0.013494127,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056192403,0
asv10481,0,0,0,0,0,0,0.05286057,0,0,0,0,0,0,0,0,0
asv11332,0,0.02108402,0,0,0,0,0.039306578,0,0,0,0,0,0,0,0,0
asv11376,0,0,0,0,0,0,0.060992965,0,0,0,0,0.021923815,0.042519359,0,0,0
asv11391,0.010162011,0,0,0,0,0,0.014909392,0,0,0,0.018767008,0,0,0,0,0
asv11665,0.037797919,0,0.024229131,0.073679525,0.021260225,0.04585426,0.036595779,0.038529571,0,0,0.025022677,0.012788892,0.041610786,0.00958093,0,0.036870567
asv12967,0.010653258,0.004558041,0.035706088,0,0,0,0,0,0.00587087,0,0.012511338,0,0,0,0,0
asv13261,0,0.018825018,0,0.042979723,0,0,0,0.040280916,0,0,0.051609271,0.076733352,0,0,0,0
asv14874,0,0,0,0,0,0,0,0,0,0,0,0.009134923,0,0.011316769,0,0.022824637
asv15993,0,0,0.003825652,0.00460497,0.006067038,0.001817059,0.008132395,0.059545701,0,0,0,0,0,0.007544513,0.011238481,0
asv17751,0,0,0,0,0,0.013118687,0,0.029772851,0,0,0,0,0.003732597,0,0.025286581,0
asv18535,0,0.007530007,0,0,0.009111525,0,0.040661977,0.038529571,0,0,0,0.018269846,0.006446028,0,0,0
asv19526,0,0,0,0,0.003037175,0,0,0,0,0,0,0,0,0,0,0
asv19704,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011736326,0,0
asv20014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019313154
asv20575,0,0,0,0.013814911,0,0,0,0,0,0,0,0,0,0,0,0
asv22136,0,0,0,0,0,0.001874098,0,0,0,0,0,0,0.010129473,0,0,0
asv22162,0,0.00227902,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv22372,0.033380208,0.498711287,0.067586524,0.283973168,0.038470884,0.526030651,0.235839467,0.099826617,0.227663919,0.45938064,0.980576147,0.394628665,0.083050278,0.185563201,0.219150371,0.145726526
asv22561,0,0.009036008,0,0,0.008099133,0.007496392,0,0,0,0.007346459,0.015639173,0.016442861,0,0,0,0
asv23783,0,0,0,0,0,0,0,0,0,0,0.006255669,0,0,0,0,0
asv26573,0,0,0,0,0,0,0,0,0,0,0,0.018269846,0,0,0,0
asv26699,0.008632092,0,0.007651305,0,0,0,0,0,0.006269855,0,0,0,0,0,0,0
asv27465,0,0,0.012752174,0.00460497,0,0,0,0,0,0,0.015639173,0.023750799,0,0,0,0.075496875
asv29369,0.013065443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv31380,0.012783909,0,0,0,0,0,0,0,0.014629661,0,0,0,0,0,0,0
asv31388,0,0.005271005,0,0,0.00706115,0,0,0,0,0,0,0,0,0,0,0
asv31540,0,0,0,0,0,0,0,0,0.01012519,0,0,0,0,0.007544513,0,0
asv33408,0,0,0,0,0,0,0.01762019,0.031524195,0.007338588,0,0.021894842,0,0.02302153,0,0.084288604,0
asv33783,0,0,0,0.00460497,0,0,0,0,0.012475599,0,0.018767008,0.036539691,0,0,0,0
asv34629,0.024857601,0.030626648,0,0,0,0.051537697,0,0.028021507,0,0.045915369,0.054737106,0.071252398,0,0,0,0
asv34732,0.039772162,0.012534613,0,0.102844337,0.050506247,0,0,0,0.045329798,0,0,0,0,0,0,0.036870567
asv35863,0,0,0,0,0,0,0,0,0.006269855,0,0,0,0,0,0,0
asv36859,0.027082098,0.025192416,0,0,0,0,0,0,0.005573204,0.011798271,0,0,0,0,0,0
asv37227,0,0,0,0,0.046489584,0.154938916,0,0,0,0,0,0,0,0.025148375,0,0
asv37405,0,0,0.024229131,0,0,0.008433441,0.08810095,0,0,0,0.010947421,0,0,0,0,0
asv37685,0,0,0,0,0,0,0,0,0,0,0,0,0.010129473,0,0,0.005267224
asv40243,0,0,0,0,0,0.169850245,0,0,0,0,0,0,0,0.011316769,0,0
asv40737,0,0,0.062485654,0,0,0,0,0,0.007663156,0.006126895,0,0.062117475,0,0,0,0.026336119
asv42307,0,0,0,0,0,0,0,0,0,0,0,0,0.012892057,0,0,0
asv43644,0,0,0,0,0,0.003634117,0,0.007005377,0,0,0.004691752,0,0,0.003832372,0,0
asv43948,0,0,0,0,0,0,0,0,0,0.02112107,0,0,0,0,0,0
asv43983,0,0,0,0,0.015185875,0.009993822,0,0.029772851,0,0,0,0,0.036097906,0,0,0
asv43996,0,0,0,0,0,0.005451176,0,0,0,0,0,0,0,0,0,0
asv44132,0,0,0,0,0,0.009993822,0.039306578,0,0,0,0,0,0,0,0.022476961,0
asv44312,0,0,0,0,0,0.004685245,0,0,0,0,0,0,0,0,0,0
asv44948,0,0.026355025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv45333,0.03193775,0.054659535,0.057384784,0.076749505,0.040444483,0.192848674,0.151804714,0,0.064447334,0.176042835,0.13918864,0.157120672,0.054122653,0.042693375,0.075859744,0.031603343
asv45794,0.037018756,0.014936824,0.008926522,0.019954871,0,0.018170585,0.012198593,0.02101613,0.012289558,0.011026957,0.028150511,0.034712707,0.014795219,0.012334978,0.00842886,0
asv46023,0,0.00113951,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv46532,0,0,0.029330001,0.00767495,0,0,0,0,0,0.005509844,0,0,0,0,0.025286581,0
asv46804,0,0,0,0,0,0,0,0,0.008359806,0,0,0,0,0,0,0
asv47409,0.029760177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv47641,0,0,0,0,0,0,0,0.02101613,0,0,0,0,0,0,0,0
asv47771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022824637
asv47911,0,0,0,0,0.017210658,0,0,0,0,0,0,0,0,0,0,0
asv49500,0,0,0,0,0.100102471,0.019987644,0.013553992,0,0,0,0,0,0.02963959,0.021496351,0.081478984,0
asv49608,0,0,0,0,0.004049567,0,0,0,0,0,0,0,0,0.00958093,0,0
asv49982,0.012073692,0,0,0,0,0,0,0.052540325,0,0,0,0,0.04572431,0.022036139,0,0
asv50310,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007544513,0,0
asv51217,0,0.003012003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv51225,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003772256,0,0
asv52948,0,0,0,0,0,0.010307539,0,0,0,0,0,0,0.008287751,0.007664744,0.028096201,0
asv53210,0.106907956,0.15340272,0,0.019954871,0,0,0,0,0,0,0,0,0,0,0,0
asv53939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019313154
asv54849,0,0.020004565,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv55618,0,0.005271005,0,0,0,0.006559343,0,0,0,0,0,0,0,0,0,0
asv02417,0,0.004518004,0.008926522,0.026094832,0,0,0,0,0,0.007507991,0,0,0,0,0,0
asv10736,0,0.018825018,0.062485654,0.053724653,0.006052414,0.022032861,0.021686388,0.040280916,0.02824841,0.029246111,0.054737106,0.095003197,0.010264641,0.018861282,0.036525062,0.057939462
asv22350,0,0,0,0.023024851,0,0,0,0,0,0,0,0,0,0,0,0
asv35579,0,0.014813633,0.043357392,0,0.063550346,0,0.058282167,0.029772851,0,0,0.034406181,0.009134923,0.009208612,0,0,0
asv00747,0,0,0,0,0.002017471,0,0,0,0,0,0,0,0.022235837,0,0,0
asv01129,0,0.008139799,0,0,0.012123108,0.004685245,0,0.043783604,0,0.00321771,0,0,0.004665746,0,0,0
asv01941,0.026278036,0.023929715,0.151750874,0,0,0,0,0,0.135763874,0.204098458,0.090707203,0,0,0,0,0
asv04282,0.02272695,0.009442536,0.284373486,0.015349901,0.00706115,0.004685245,0,0.008756721,0.042330253,0.022957684,0,0.023750799,0.009208612,0.012574188,0.044953922,0
asv04596,0,0,0,0,0,0,0,0,0,0,0,0,0.017496363,0,0,0
asv06519,0,0,0,0,0,0,0.010843194,0,0.011258033,0.006428152,0,0,0,0,0,0
asv08153,0,0,0,0,0,0,0,0.033275539,0,0,0,0,0,0,0,0
asv09981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160148348,0
asv10412,0.042099762,0.036304181,0,0.012279921,0,0,0,0,0.019878297,0.072722352,0.010947421,0.023750799,0.002799448,0,0,0
asv15574,0,0.010255592,0,0,0,0,0,0,0,0,0,0.021923815,0,0,0,0
asv15965,0,0.004558041,0.006376087,0,0.016198267,0,0,0,0,0,0,0,0,0,0,0
asv19033,0.006532722,0.188134683,0.062485654,0.164243941,0.072789832,0.015730195,0.063703764,0.169880383,0.088505534,0.070878469,0.117293798,0.08404129,0.189023043,0.182931891,0.272533154,0.098321511
asv19604,0,0,0,0,0,0,0,0,0,0,0.031278346,0,0,0,0,0
asv19686,0,0,0,0,0,0,0,0.050788981,0,0,0,0,0,0,0,0
asv20033,0,0,0.020403479,0,0,0,0,0,0,0,0,0,0,0,0,0
asv21289,0.018872307,0,0,0,0.035356932,0,0,0,0,0,0,0,0,0,0,0
asv21441,0,0,0,0,0,0,0,0,0.002201576,0,0,0,0,0,0,0
asv21561,0.031211892,0,0,0,0,0,0,0,0,0,0,0,0,0.016287581,0,0
asv22497,0,0.028487756,0.043357392,0,0,0,0,0,0.068701654,0.022670966,0,0.107792089,0,0,0,0
asv23440,0.269162425,0.003012003,0.098191742,0,0.004034943,0.045915403,0,0.057794357,0.003669294,0,0.02345876,0.012788892,0,0,0,0
asv23871,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007664744,0,0
asv24997,0.018465647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv25396,0,0,0,0,0,0.004542646,0,0.024518818,0,0,0,0,0,0,0,0
asv25933,0,0,0.036981305,0,0.01613977,0.023621761,0,0,0,0,0,0,0.029860774,0,0,0.036870567
asv25995,0,0,0,0,0,0,0,0,0,0,0,0,0.03130928,0,0,0
asv27740,0,0,0,0,0,0,0.028463384,0.029772851,0,0,0,0,0.007465194,0.019340955,0.028096201,0
asv27889,0,0.024745851,0,0.041444733,0.03534962,0.056332918,0.018975589,0.267955656,0.006269855,0.009653131,0.059428857,0.04019366,0.008287751,0.015089025,0.042144302,0
asv29261,0,0,0,0,0,0,0,0,0,0,0,0,0.025956145,0,0,0
asv31472,0.036931294,0.435930427,0.938560024,0.207223663,0,0.079217269,0.14096152,0,0.176851928,0,0,0.285009592,0.115562305,0.183586899,0.185434929,0.129924854
asv31967,0.072585796,0,0,0.016884891,0,0,0,0,0,0,0,0,0,0,0,0
asv37123,0,0,0.00510087,0.010744931,0,0.003634117,0,0,0,0,0,0,0,0,0,0
asv37906,0,0,0,0,0.058718717,0,0,0.178637104,0,0,0,0,0,0,0,0
asv40943,0,0,0.014027392,0,0,0.006559343,0,0.010508065,0,0,0,0,0.038897354,0,0.014048101,0.008778706
asv42371,0,0,0,0,0,0,0,0.015762097,0.002786602,0,0,0,0.010264641,0.006287094,0.028096201,0
asv42796,0.064601359,0.011295011,0.053559132,0,0,0,0.009487795,0.008756721,0,0,0,0,0,0,0,0
asv43808,0.006391955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv43833,0,0,0.006376087,0,0,0,0,0,0,0,0,0.007307938,0.012892057,0.007664744,0.014048101,0
asv45219,0,0,0,0,0.003037175,0,0,0,0,0,0,0,0,0,0,0
asv45688,0,0,0,0,0,0,0,0.005254032,0,0,0.021894842,0,0.02784702,0.010539023,0,0
asv47758,0,0,0,0,0,0.010902351,0,0,0,0,0,0,0,0,0,0
asv48099,0,0,0,0,0,0,0,0,0.002935435,0,0,0,0,0,0,0
asv49013,0.048038134,0.012088048,0.021678696,0.012279921,0,0,0,0,0.007663156,0,0,0,0,0,0,0
asv50109,0.03266999,0,0.021678696,0,0,0,0,0,0,0.012870841,0.007819587,0,0,0,0,0
asv55242,0,0.004558041,0.035706088,0.016884891,0.009111525,0.017803932,0.086745551,0.029772851,0.004403153,0,0,0.023750799,0.045429398,0.053052051,0.036525062,0
asv55522,0,0,0.010201739,0,0,0.038842704,0,0,0,0.00367323,0,0,0,0,0,0
asv55684,0,0,0,0,0,0,0,0,0,0.006435421,0,0,0,0.013413302,0,0
asv01117,0,0,0,0,0,0,0,0,0,0,0,0,0.066375734,0,0,0.035114825
asv03413,0.043551478,0.038786465,0,0.021489861,0,0.033615583,0.149093916,0,0.03275288,0,0,0,0.009331492,0,0,0.19313154
asv08047,0,0,0,0,0.02320092,0.025724017,0,0.047286292,0,0,0.01720309,0,0,0,0,0
asv08224,0,0.01003231,0,0,0.049490199,0.262165887,0.032529582,0,0,0,0.007819587,0,0.039032522,0.056345888,0.036525062,0.019313154
asv08675,0,0,0,0,0,0.03236892,0,0,0,0,0,0,0,0,0,0
asv08871,0,0,0,0,0,0,0.013553992,0,0,0,0,0,0,0,0,0.007022965
asv10039,0,0.019941429,0.040806958,0.024559842,0,0.008433441,0,0.064799734,0.019841089,0,0.015639173,0,0.021179807,0,0,0
asv11928,0,0,0.016577827,0,0.028295783,0.015444998,0.005421597,0.068302422,0.009056457,0.016529533,0.028150511,0,0.049223435,0.048202723,0.070240503,0
asv12589,0,0.009685837,0.035706088,0,0,0,0,0,0.01393301,0,0,0,0,0,0,0
asv15241,0,0,0,0,0,0,0,0,0,0,0,0.045674614,0.005598895,0,0,0
asv20897,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006706651,0,0
asv22040,0,0.004558041,0.007651305,0,0,0,0,0,0,0,0,0,0.01119779,0.007664744,0,0
asv22358,0,0,0,0,0,0,0,0,0.002201576,0.007346459,0,0,0,0,0,0
asv22636,0,0,0,0,0.058572476,0,0,0,0,0,0,0,0.049161995,0,0,0
asv25562,0,0,0,0,0,0,0,0.017513442,0,0,0,0,0,0,0,0
asv26191,0,0,0,0,0,0.008433441,0,0.019264786,0,0,0,0.005480954,0.028645001,0.01005935,0,0.008778706
asv26570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022824637
asv26750,0,0,0,0,0.019165977,0,0.115208935,0,0,0,0,0,0,0,0,0
asv26840,0,0,0,0,0.019235442,0.035607864,0,0,0,0,0,0,0,0,0,0
asv27054,0,0,0.012752174,0,0,0,0.032529582,0,0,0.002754922,0,0,0,0.0201187,0,0
asv28784,0,0,0,0,0,0,0,0,0,0.010725701,0,0,0,0,0,0
asv30436,0,0,0.016577827,0,0.014173483,0,0.192466691,0.108583338,0,0,0,0,0.012892057,0.064788377,0,0
asv33264,0,0.003418531,0,0,0.011136308,0,0,0,0,0,0,0.007307938,0,0.028681422,0.047763542,0
asv36322,0,0.013450841,0,0.00767495,0,0,0,0.035026883,0.011007882,0,0.012511338,0,0.014733779,0.015089025,0,0.021068895
asv37263,0,0,0,0,0,0,0.031174182,0,0,0,0,0,0,0,0,0
asv38868,0.019886081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv39201,0,0,0,0,0,0,0,0,0,0.006428152,0,0,0.012892057,0,0,0
asv39242,0,0,0,0.033769782,0,0,0,0,0,0,0,0,0,0,0,0
asv41468,0,0,0,0,0,0,0,0,0,0.006428152,0,0,0.004604306,0,0.033715442,0
asv41829,0,0,0,0,0,0.005451176,0,0,0,0.011019689,0,0,0.02332873,0,0,0
asv48580,0,0,0,0.00613996,0,0.003748196,0,0,0,0,0,0,0,0,0,0
asv49177,0,0,0,0,0,0,0,0,0,0,0,0,0.062974913,0.080116613,0.050573163,0
asv50331,0,0,0,0,0.009078621,0.035432642,0.027107985,0,0,0.011019689,0,0,0,0,0,0.047405014
asv50583,0,0,0.016577827,0.012279921,0,0.034670815,0,0,0,0,0.043789684,0,0.055251671,0.044009657,0.064621263,0
asv50753,0,0,0,0,0,0,0,0,0,0,0,0.010961907,0,0.007544513,0,0
asv51133,0.018146449,0,0,0,0,0,0,0,0,0,0,0.025577784,0,0,0,0.033359084
asv23830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039334682,0
asv33211,0,0,0,0,0,0.006559343,0,0,0,0.00429028,0.018767008,0.029231753,0.003683445,0.016346444,0.014048101,0
asv01172,0,0,0,0,0,0.113831044,0,0,0,0,0,0.087695259,0,0.055326426,0,0
asv04666,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008801931,0,0
asv08462,0,0.020247865,0,0,0,0.006359705,0,0.052540325,0.020138755,0,0.010947421,0,0.017496363,0,0,0
asv09676,0.029760177,0.083860255,0.16322783,0.052189663,0.09096901,0.059201105,0.084034752,0.110334682,0.044930813,0.05037445,0.046917519,0.142504796,0.14164133,0.065806586,0.174196449,0.079008357
asv10467,0,0,0,0,0,0,0,0,0.006604729,0,0,0,0.010264641,0,0,0
asv26417,0,0,0,0,0,0.004685245,0,0,0,0.011937996,0,0,0,0.00958093,0.028096201,0.010534448
asv34054,0,0,0,0,0,0,0,0.008756721,0,0,0,0,0,0,0,0
asv41852,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007544513,0.028096201,0
asv44569,0,0,0.012752174,0,0,0,0,0,0,0,0,0,0,0,0.022476961,0
asv48974,0,0,0,0,0,0,0,0,0,0.026630914,0,0,0,0,0,0
asv11881,0,0.009789009,0,0,0,0,0,0,0,0,0.015639173,0,0,0,0,0
asv30393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101832994
asv43540,0,0,0,0,0,0,0.139606121,0.029772851,0,0,0,0,0,0,0,0
asv12283,0,0,0,0,0,0,0,0,0,0,0.02345876,0,0,0.013053861,0,0
asv10061,0,0,0,0,0,0.014536468,0,0,0.010449758,0.029385836,0,0,0.013997238,0.015089025,0,0
asv14836,0,0.005697551,0,0,0,0.024363275,0.048794372,0.043783604,0,0.011798271,0,0.009134923,0.014733779,0.01916186,0.059002023,0.040382049
asv04541,0.066778933,0.282219735,0.085439567,0.142754079,0.071620231,0.322523993,0.078613156,0,0.154484696,0.175396709,0.545807138,0.31241436,0.113205225,0.044072279,0.140481007,0.100077253
asv05263,0,0,0.012752174,0,0.005061958,0.01271941,0,0,0.004403153,0,0,0.012788892,0,0.007664744,0,0
asv07217,0,0,0,0,0,0,0,0,0,0,0,0,0.011124062,0,0,0
asv15863,0.017420591,0,0,0,0,0,0,0,0.088329799,0,0.034406181,0,0,0,0,0
asv24877,0,0,0.012752174,0,0,0,0,0,0,0,0,0,0,0,0,0
asv26594,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008801931,0.036525062,0
asv28200,0,0,0,0,0,0,0.071836159,0,0,0,0,0,0,0,0,0
asv28616,0,0,0.006376087,0,0.011136308,0.006359705,0.006776996,0.035026883,0,0,0,0,0.006532044,0.013831606,0.022476961,0.015801671
asv32763,0,0,0,0,0,0,0,0.008756721,0,0,0,0,0,0,0,0
asv32791,0,0,0,0,0.030357126,0.004685245,0,0,0,0,0,0,0.021278111,0,0.427062261,0
asv33033,0.031249556,0.003988286,0.008926522,0,0,0,0,0,0,0,0,0,0,0,0,0
asv33269,0,0,0,0,0,0,0,0,0.003669294,0,0,0,0,0.006706651,0,0
asv35143,0,0,0,0,0.017148506,0.023621761,0.024397186,0,0,0,0,0,0,0,0,0.094810029
asv36895,0,0,0.016577827,0,0,0,0,0,0,0,0.007819587,0,0,0,0,0
asv38471,0,0,0,0,0,0,0,0,0,0.00367323,0,0,0,0,0,0
asv44331,0,0,0,0,0,0.001817059,0,0,0,0,0.004691752,0,0.006446028,0.003832372,0,0
asv52544,0,0,0,0,0,0,0,0,0,0.00214514,0,0.023750799,0,0,0,0
asv55818,0,0,0,0,0,0,0,0,0.01698007,0,0,0,0,0,0,0
asv00971,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040477864,0,0
asv02718,0,0,0,0,0,0.008433441,0,0,0,0,0,0,0,0,0,0
asv04630,0,0,0,0,0,0,0,0,0,0,0,0,0,0.630815942,0,0
asv04801,0,0,0,0,0.038434323,0,0,0,0,0,0,0,0,0,0,0
asv05315,0,0,0,0,0.028325031,0,0.010843194,0.017513442,0,0,0,0,0.020258946,0,0,0.101832994
asv06771,0,0,0,0,0,0.002725588,0,0,0,0,0,0,0,0,0,0
asv15132,0,0,0,0,0.003026207,0,0.031174182,0,0,0,0,0,0.004665746,0.005029675,0.016857721,0
asv16392,0,0,0,0,0,0,0,0,0.006966505,0,0,0,0,0,0,0
asv25459,0,0.003988286,0,0,0,0,0,0,0,0,0.020330925,0,0.001841722,0.003832372,0,0.012290189
asv35393,0,0.007406817,0,0.009209941,0,0,0,0,0.016022962,0,0.633386507,0.023750799,0,0,0.236008092,0
asv38149,0,0.003418531,0,0,0,0,0.009487795,0,0,0,0.01720309,0,0,0,0,0.010534448
asv40087,0,0.005127796,0,0,0,0,0,0,0,0,0,0,0.003732597,0,0,0
asv44304,0,0,0,0,0.015185875,0,0,0,0,0,0.010947421,0,0,0,0,0
asv44754,0,0,0,0,0,0,0,0,0.004876554,0,0,0,0,0,0,0
asv48036,0,0,0,0,0,0.067862705,0,0,0,0.011937996,0,0,0,0,0,0
asv51558,0.010653258,0.006267306,0,0.015349901,0,0.006559343,0,0.033275539,0.005137011,0,0,0,0.027036751,0,0,0.031603343
asv00223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017557413
asv03045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026336119
asv05380,0,0,0,0,0.002024783,0,0,0,0,0,0,0,0.005598895,0,0,0
asv05423,0,0,0,0,0,0,0,0,0,0,0,0,0.012130939,0,0,0
asv06331,0,0,0,0,0,0,0.032529582,0,0,0,0,0,0,0,0,0
asv07037,0,0.014243878,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv10650,0,0,0,0,0,0,0,0,0,0,0,0,0.001841722,0,0.036525062,0
asv11050,0,0,0.006376087,0,0,0,0,0,0.017602304,0.007507991,0,0,0,0,0,0
asv13381,0,0,0,0.009209941,0,0.01962099,0,0,0,0,0,0,0,0,0,0
asv15109,0,0,0,0,0,0,0.073191559,0,0,0,0,0,0,0,0,0
asv15411,0,0.008283008,0,0,0,0,0,0,0.007663156,0,0,0.032885722,0,0,0,0
asv15914,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006287094,0,0
asv20261,0,0,0,0,0,0.012181638,0,0,0,0,0,0,0,0,0,0
asv20929,0,0,0,0,0,0,0,0,0.002089952,0,0,0,0,0.011497116,0,0.126413372
asv21768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.370869858,0
asv28507,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042156093,0,0
asv29164,0,0,0,0,0,0.004542646,0.024397186,0.014010753,0,0,0,0,0.017680683,0.018382862,0,0
asv29551,0,0.021080939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv29906,0,0,0,0,0,0,0,0,0.003669294,0,0,0.179044487,0,0.012334978,0,0
asv33613,0,0,0.007651305,0,0,0,0.092167148,0,0,0,0,0.012788892,0,0,0,0
asv35004,0,0,0,0,0,0,0,0,0,0,0.007819587,0,0,0.002874279,0.022476961,0
asv35153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003511483
asv35559,0,0.006024006,0,0,0,0,0,0,0,0.006428152,0.034406181,0,0.056516597,0.017603863,0.056192403,0.15099375
asv35678,0,0,0,0,0,0,0,0,0,0.008264766,0,0,0,0,0,0
asv35692,0,0.012534613,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv35851,0,0,0,0,0.008069885,0,0,0,0,0,0,0,0,0,0,0
asv36332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031603343
asv37009,0,0,0,0,0.012104828,0,0.013553992,0,0,0,0,0,0.013812918,0.013831606,0.044953922,0.021068895
asv38687,0,0.002848776,0.010201739,0,0,0,0,0,0.012103516,0,0,0,0,0,0,0.003511483
asv40893,0,0,0,0,0,0.003748196,0,0,0,0,0,0,0,0,0,0
asv42046,0,0,0,0,0,0,0,0,0,0.00367323,0,0,0,0,0,0
asv42880,0.008710296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv43384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008778706
asv43755,0,0.00113951,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv43856,0,0.003418531,0,0,0,0.019987644,0.010843194,0,0,0,0,0.003653969,0.021253535,0,0.022476961,0
asv45911,0,0,0.014027392,0,0,0,0,0,0,0.006435421,0,0,0,0,0,0
asv48835,0,0,0,0,0.004049567,0,0,0,0,0,0,0.005480954,0,0,0,0
asv49035,0,0,0,0,0,0,0,0,0.010274023,0,0,0,0,0,0,0
asv49904,0,0,0,0,0,0,0,0,0,0,0,0,0.004665746,0,0,0
asv50409,0,0,0,0,0,0,0.013553992,0,0,0,0,0,0,0,0,0
asv52435,0,0,0,0,0,0,0,0,0.006604729,0,0,0,0,0,0,0
asv53320,0,0.00113951,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv31881,0,0,0,0,0,0,0.016264791,0,0,0,0,0,0,0,0,0
asv46155,0,0,0,0,0,0,0,0,0,0,0,0.056636521,0,0,0,0
asv08027,0,0,0.002550435,0,0,0,0,0,0,0,0,0,0.005525167,0,0,0
asv04091,0,0,0.014027392,0.00306998,0,0,0.006776996,0,0,0,0,0.012788892,0,0.006287094,0,0
asv18862,0.023437167,0,0,0.026094832,0,0,0,0,0,0,0,0,0,0,0,0
asv20562,0,0.013104368,0,0,0,0,0,0,0,0,0,0.038366676,0,0,0,0
asv25130,0,0,0,0,0,0,0.047438973,0,0,0,0,0,0,0,0.134861767,0
asv30160,0,0,0.010201739,0,0,0,0,0,0,0,0,0,0,0,0,0
asv47458,0,0,0,0,0,0,0,0.036778227,0,0,0,0,0,0,0,0
asv51639,0,0,0,0,0,0,0,0.047286292,0,0,0,0,0.053189504,0,0,0
asv05928,0.080091752,0.052626896,0,0,0.00706115,0,0,0.033275539,0,0,0,0,0.031481312,0.007664744,0.030905822,0
asv09004,0,0,0,0,0,0,0.093522547,0,0,0,0,0,0,0,0,0
asv42179,0,0.028957419,0.043357392,0,0.031332958,0.007496392,0.098944144,0,0.026483026,0.008264766,0.014075256,0.043847629,0.039928807,0.023352421,0,0.005267224
asv46071,0,0,0,0,0,0,0,0,0,0,0,0.018269846,0,0,0,0
asv00401,0.023227455,0,0,0,0,0,0,0,0,0,0,0,0,0.001916186,0,0
asv20224,0,0,0.010201739,0,0,0,0,0,0.005573204,0,0,0,0,0,0,0
asv00744,0,0,0,0,0,0,0,0,0,0,0,0.02009683,0,0,0,0
asv04450,0,0.033132031,0.010201739,0,0,0.013118687,0,0,0.00587087,0.031846771,0.048481436,0.052982552,0,0,0,0
asv10264,0,0.013554013,0,0,0,0,0,0,0.16396075,0,0,0.184525441,0,0,0,0
asv14183,0.070445886,0.028347627,0.03443087,0.021489861,0.024257184,0.018170585,0,0.040280916,0.0249781,0.054180135,0.089143286,0.069425413,0,0.057004655,0.070240503,0.026336119
asv16911,0,0,0,0,0,0,0.025752585,0,0.002089952,0,0,0,0,0,0,0.010534448
asv17838,0,0.008709554,0,0.026094832,0.012123108,0,0,0,0,0,0,0,0,0,0,0
asv19163,0,0,0,0,0,0,0,0.029772851,0.011146408,0,0,0,0,0,0,0.045649273
asv24836,0,0.027717817,0.011476957,0.072144535,0,0.009085293,0.012198593,0.028021507,0,0.011798271,0,1.636978168,0,0.02460984,0,0
asv26970,0,0.014307013,0,0,0,0,0,0,0.016878752,0,0.037534015,0,0,0,0,0
asv27575,0.014204344,0,0.057384784,0,0.004049567,0,0,0,0,0,0,0,0,0,0,0
