,Settlement
1AO_1,37
1AO_5,
1AO_3,18
1AO_29,
1AC_7,8
1AC_9,15
1AC_8,4
1AC_33,5
1NO_13,18
1NO_15,9
1NO_17,
1NO_37,25
1NC_19,21
1NC_20,22
1NC_21,6
1NC_43,14
