,1AO_1,1AO_5,1AO_3,1AO_29,1AC_7,1AC_9,1AC_8,1AC_33,1NO_13,1NO_15,1NO_17,1NO_37,1NC_19,1NC_20,1NC_21,1NC_43
ord1,0.105396554,0.433401945,0.242291311,0.227178535,3.356851516,0.18598382,0.642459236,0.157620974,2.922737636,0.944777566,0.070376279,0.22837307,0.023168986,0.651183876,0.342773657,0.442446801
ord2,1.310125713,0.714037149,0.786809151,0.985463644,2.369930499,1.167183533,2.152373982,1.154135799,0.657732585,0.307800156,1.161990554,0.639444597,1.357455826,0.888963772,1.438525511,0.999016785
ord3,4.747918828,5.547474711,5.275574485,4.538965724,3.647590074,5.146364875,6.594017268,4.511462548,4.410872039,3.856032438,7.023552595,5.400566365,5.071438212,5.928598069,6.512699483,4.319123534
ord4,7.292940537,9.279875886,4.761661863,6.738606536,5.320988769,5.545718478,6.470675938,6.627086289,6.337642275,6.563843055,11.65118389,9.9881246,5.045624625,7.81070353,6.290739492,5.400660159
ord5,8.010340613,7.361661271,9.968374608,9.243710378,4.415457592,9.670780532,5.168137275,6.870523126,9.099390762,9.999832653,9.636858403,11.50817576,9.94866738,10.05803152,8.943020904,7.291593511
ord6,0.749546642,0.727548045,0.271621311,0.385282515,0.765952416,1.514575746,1.160221743,1.050806494,1.232501919,0.637844835,0.950861718,0.390974696,2.317969111,1.552061815,1.677343223,2.368494979
ord7,0.004355148,0.163901612,0.072687393,0.038374752,0.105113245,0.235024088,0.162647908,3.322299865,0.031555927,0.018233692,0.042225767,0.023750799,0.339467481,0.352630827,0.185434929,0.194887281
ord8,4.768062802,6.815538638,3.246703563,3.09454004,3.580004458,4.452337969,3.605361959,3.504439657,8.649189782,2.439282841,2.668042914,2.278249749,5.39998489,5.04942815,4.464486401,3.256900063
ord9,4.204196651,3.742810753,2.019944401,2.205780773,2.459335711,2.653827746,1.227991705,0.912450306,5.926075353,2.343544653,1.729692534,1.976797296,2.151081383,1.509667766,2.357271297,3.36224454
ord10,2.042868136,2.882745378,0.985743069,1.54266505,1.912289572,3.024051169,1.176486534,2.359060579,2.148867054,4.108875492,5.515936317,4.342742304,2.932664973,2.604675387,2.236457631,1.18512536
ord11,0.36941541,0.475999611,0.374913923,0.234853485,0.431457672,0.446915151,0.68854281,0.649748682,0.253291154,0.163061345,0.264302024,0.434822326,0.7758365,0.797704473,0.963699708,1.056956247
ord12,0.918365114,1.468993486,0.768956107,0.976253703,0.856084523,1.441001697,1.122270565,0.609467767,0.740991752,0.792120474,0.819492665,1.304466977,0.682877932,0.479268175,0.488873904,1.348409298
ord13,1.740873559,1.893511873,0.890101762,0.990068614,0.954078122,1.516719241,3.990295341,2.273244715,1.715103235,1.243828361,0.727221545,1.101671691,1.145349814,0.81434899,0.963699708,2.068263221
ord14,4.083488134,5.16860138,8.629396312,5.601178872,2.198332428,3.520830375,4.402336708,4.276782431,4.083122777,2.145506862,1.612398736,2.769708596,1.509925568,1.802772835,2.643852551,5.07233654
ord15,0.076033779,0.063858771,0.019128261,0.079819485,0.336705985,1.021171102,0.196532889,0.385295714,0.154069116,1.08607333,0.167339151,0.270393715,0.351795028,0.562150112,0.292200494,1.167567947
ord16,4.317868435,2.573020314,2.545333979,3.019325525,2.621504509,2.519112431,1.980238279,2.420357624,2.922158899,1.878375527,1.842294579,1.112633598,1.799347795,1.396382351,1.666104743,1.912002247
ord17,13.70006721,8.643182207,8.083603254,8.321181328,10.75906667,9.055515396,11.04243755,7.844270478,11.25460942,6.891123119,8.56713897,7.337170001,7.83252957,6.982170986,8.66486851,9.876044666
ord18,0.242073945,0.479533635,0.158126961,0.575621287,1.437632084,0.411694253,0.311741824,0.457100825,0.284489324,0.111922851,0.664664853,0.279528638,1.446830731,0.611905821,1.123848056,0.424889388
